Player,Teams,year,Mat,Runs,HS,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2014,15,390,59,INR 12.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2015,16,482,98,INR 12.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2016,14,489,85,INR 12.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2017,17,333,67,INR 15Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2018,14,286,94,INR 15Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2019,15,405,67,INR 15Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2020,12,332,80,INR 15Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2021,13,381,63,INR 15Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2022,14,268,48,INR 16Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2023,16,332,65,INR 16Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2008,16,421,55,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2009,14,434,98,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2010,16,520,83,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2011,16,438,73,INR 6Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2012,19,441,73,INR 6Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2013,18,548,100,INR 6Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2014,16,523,87,INR 9cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2015,17,374,62,INR 9cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
